city,company,date,price
CAN,BB,2020-03-19,481
CAN,YZ,2020-03-19,347
WUH,XX,2020-03-19,394
WUH,YZ,2020-03-19,462
CAN,XX,2020-03-20,418
CAN,XX,2020-03-20,597
CTU,AB,2020-03-20,415
PEK,AB,2020-03-20,581
PEK,BB,2020-03-20,422
WUH,BB,2020-03-20,574
WUH,YZ,2020-03-20,421
CAN,AB,2020-03-21,421
CTU,AB,2020-03-21,541
CTU,XX,2020-03-21,372
CTU,YZ,2020-03-21,425
PEK,AB,2020-03-21,505
WUH,BB,2020-03-21,413
WUH,YZ,2020-03-21,335
CAN,AB,2020-03-22,555
CAN,XX,2020-03-22,339
CAN,YZ,2020-03-22,312
CTU,BB,2020-03-22,319
PEK,AB,2020-03-22,412
WUH,XX,2020-03-22,390
CAN,AB,2020-03-23,360
PEK,AB,2020-03-23,496
WUH,AB,2020-03-23,304
CTU,BB,2020-03-24,505
PEK,AB,2020-03-24,467
CAN,BB,2020-03-25,400
CAN,YZ,2020-03-25,552
PEK,YZ,2020-03-25,445
WUH,YZ,2020-03-25,520
CAN,XX,2020-03-26,488
CAN,XX,2020-03-26,567
CTU,AB,2020-03-26,537
CTU,XX,2020-03-26,394
PEK,YZ,2020-03-26,399
CAN,AB,2020-03-27,341
CAN,YZ,2020-03-27,546
PEK,YZ,2020-03-27,415
WUH,AB,2020-03-27,533
WUH,BB,2020-03-27,523
WUH,YZ,2020-03-27,542
CTU,XX,2020-03-28,508
CTU,BB,2020-03-29,314
CTU,YZ,2020-03-29,377
WUH,AB,2020-03-29,583
WUH,YZ,2020-03-29,508
CAN,AB,2020-03-30,481
PEK,BB,2020-03-30,408
CAN,YZ,2020-03-31,386
PEK,XX,2020-03-31,596
PEK,XX,2020-03-31,389
WUH,AB,2020-03-31,562
CAN,AB,2020-04-01,419
CTU,AB,2020-04-01,558
CTU,BB,2020-04-01,429
CTU,XX,2020-04-01,565
PEK,AB,2020-04-01,387
WUH,AB,2020-04-02,594
CAN,XX,2020-04-03,514
WUH,BB,2020-04-03,378
CTU,XX,2020-04-04,533
CTU,XX,2020-04-04,402
CTU,XX,2020-04-04,420
PEK,XX,2020-04-04,528
WUH,AB,2020-04-04,360
WUH,AB,2020-04-04,535
CAN,AB,2020-04-06,425
CTU,AB,2020-04-06,542
CTU,BB,2020-04-06,363
CTU,XX,2020-04-06,363
CAN,BB,2020-04-07,410
CTU,AB,2020-04-07,308
PEK,YZ,2020-04-07,393
PEK,YZ,2020-04-07,328
CAN,BB,2020-04-08,499
PEK,AB,2020-04-08,545
PEK,XX,2020-04-08,489
CAN,YZ,2020-04-10,486
PEK,BB,2020-04-10,496
WUH,BB,2020-04-10,324
CAN,YZ,2020-04-11,568
CTU,AB,2020-04-11,365
PEK,AB,2020-04-11,477
PEK,YZ,2020-04-11,318
CAN,AB,2020-04-12,388
PEK,YZ,2020-04-12,330
CTU,XX,2020-04-13,464
CTU,BB,2020-04-14,356
CTU,XX,2020-04-14,562
PEK,BB,2020-04-14,548
CTU,YZ,2020-04-15,416
CTU,YZ,2020-04-15,384
PEK,XX,2020-04-15,459
WUH,AB,2020-04-15,319
PEK,BB,2020-04-16,397
PEK,YZ,2020-04-16,502
CTU,XX,2020-04-17,319
