city,company,date,price
CAN,AB,2020-03-19,595
CAN,XX,2020-03-19,371
CTU,XX,2020-03-19,422
CTU,YZ,2020-03-19,337
WUH,BB,2020-03-19,303
WUH,BB,2020-03-19,317
WUH,YZ,2020-03-19,406
WUH,YZ,2020-03-19,355
CAN,YZ,2020-03-20,310
CTU,BB,2020-03-20,512
WUH,AB,2020-03-20,529
CAN,AB,2020-03-21,332
CAN,BB,2020-03-21,516
CAN,YZ,2020-03-21,472
PEK,AB,2020-03-21,562
PEK,BB,2020-03-21,427
PEK,BB,2020-03-21,560
CTU,BB,2020-03-22,416
CTU,YZ,2020-03-23,458
CTU,YZ,2020-03-23,503
PEK,BB,2020-03-23,480
PEK,XX,2020-03-23,314
CAN,XX,2020-03-24,573
PEK,BB,2020-03-24,356
PEK,YZ,2020-03-24,483
CTU,XX,2020-03-25,368
PEK,XX,2020-03-25,481
WUH,BB,2020-03-25,522
CTU,YZ,2020-03-26,560
PEK,BB,2020-03-26,527
CAN,YZ,2020-03-27,582
CTU,XX,2020-03-27,534
CTU,YZ,2020-03-27,535
WUH,YZ,2020-03-27,448
CTU,BB,2020-03-28,439
WUH,YZ,2020-03-28,516
PEK,AB,2020-03-29,389
WUH,AB,2020-03-29,346
CAN,BB,2020-03-30,536
CTU,AB,2020-03-30,556
PEK,AB,2020-03-30,480
CAN,YZ,2020-03-31,539
PEK,BB,2020-03-31,556
CAN,BB,2020-04-01,522
PEK,AB,2020-04-01,380
CAN,BB,2020-04-02,339
CAN,BB,2020-04-02,332
CTU,BB,2020-04-02,336
PEK,BB,2020-04-02,531
WUH,AB,2020-04-02,502
PEK,YZ,2020-04-03,301
WUH,YZ,2020-04-03,547
CAN,AB,2020-04-04,457
CAN,XX,2020-04-04,347
PEK,YZ,2020-04-04,501
CTU,AB,2020-04-05,333
PEK,BB,2020-04-05,558
CTU,BB,2020-04-06,455
CTU,YZ,2020-04-06,559
PEK,AB,2020-04-06,334
CAN,AB,2020-04-08,464
CAN,BB,2020-04-08,585
WUH,XX,2020-04-08,325
WUH,YZ,2020-04-08,433
CAN,XX,2020-04-09,460
CTU,BB,2020-04-09,579
CTU,BB,2020-04-09,351
CTU,YZ,2020-04-09,318
PEK,AB,2020-04-09,496
WUH,BB,2020-04-09,423
WUH,BB,2020-04-09,434
CTU,YZ,2020-04-10,537
PEK,AB,2020-04-11,452
CAN,BB,2020-04-12,572
CAN,XX,2020-04-12,346
WUH,XX,2020-04-12,319
CAN,AB,2020-04-13,370
CAN,XX,2020-04-13,530
CAN,YZ,2020-04-13,369
CTU,BB,2020-04-13,592
PEK,XX,2020-04-13,540
WUH,XX,2020-04-13,301
CAN,BB,2020-04-14,359
PEK,AB,2020-04-14,531
WUH,BB,2020-04-14,394
WUH,XX,2020-04-14,564
WUH,YZ,2020-04-14,395
CAN,AB,2020-04-15,409
CAN,BB,2020-04-15,491
PEK,AB,2020-04-15,559
PEK,BB,2020-04-15,469
CAN,BB,2020-04-16,503
CTU,XX,2020-04-16,552
CTU,XX,2020-04-16,500
CTU,XX,2020-04-16,368
PEK,YZ,2020-04-16,387
WUH,YZ,2020-04-16,430
CAN,YZ,2020-04-17,518
CAN,YZ,2020-04-17,487
CTU,AB,2020-04-17,395
