city,company,date,price
WUH,XX,2020-03-19,444
CAN,YZ,2020-03-20,580
CAN,YZ,2020-03-20,480
PEK,YZ,2020-03-20,300
PEK,YZ,2020-03-20,365
WUH,AB,2020-03-20,369
WUH,BB,2020-03-21,562
WUH,AB,2020-03-22,339
CAN,AB,2020-03-23,548
CAN,BB,2020-03-23,480
WUH,AB,2020-03-23,441
WUH,YZ,2020-03-23,402
CTU,AB,2020-03-24,389
CTU,YZ,2020-03-24,500
WUH,AB,2020-03-24,357
CAN,YZ,2020-03-25,430
PEK,AB,2020-03-25,332
PEK,AB,2020-03-25,595
PEK,BB,2020-03-25,405
WUH,XX,2020-03-25,497
WUH,YZ,2020-03-25,487
CTU,XX,2020-03-26,400
CTU,YZ,2020-03-26,323
PEK,YZ,2020-03-26,392
WUH,YZ,2020-03-26,588
CTU,AB,2020-03-27,403
CTU,XX,2020-03-27,313
PEK,XX,2020-03-27,401
CTU,AB,2020-03-28,546
CTU,YZ,2020-03-28,312
WUH,XX,2020-03-28,430
CAN,XX,2020-03-29,345
CAN,YZ,2020-03-29,377
CTU,XX,2020-03-29,366
WUH,BB,2020-03-29,410
WUH,XX,2020-03-29,300
PEK,BB,2020-03-30,437
PEK,YZ,2020-03-30,392
WUH,BB,2020-03-31,377
WUH,YZ,2020-03-31,476
CAN,XX,2020-04-01,307
CTU,XX,2020-04-01,349
PEK,BB,2020-04-01,374
WUH,AB,2020-04-01,366
CTU,BB,2020-04-02,408
PEK,BB,2020-04-02,374
PEK,BB,2020-04-02,373
WUH,AB,2020-04-02,342
WUH,AB,2020-04-02,385
CTU,XX,2020-04-03,555
CTU,YZ,2020-04-03,396
WUH,AB,2020-04-03,382
WUH,YZ,2020-04-03,417
WUH,YZ,2020-04-03,426
CTU,XX,2020-04-04,439
PEK,BB,2020-04-04,338
PEK,XX,2020-04-04,599
CTU,AB,2020-04-05,408
CTU,AB,2020-04-05,413
PEK,BB,2020-04-05,377
PEK,YZ,2020-04-05,504
CTU,AB,2020-04-06,418
CTU,AB,2020-04-06,568
CTU,BB,2020-04-06,556
PEK,AB,2020-04-06,437
PEK,XX,2020-04-06,388
WUH,BB,2020-04-06,417
PEK,AB,2020-04-07,329
PEK,BB,2020-04-07,333
WUH,YZ,2020-04-07,444
WUH,YZ,2020-04-07,509
CAN,XX,2020-04-08,331
WUH,YZ,2020-04-08,429
CAN,YZ,2020-04-09,494
CTU,XX,2020-04-09,340
CTU,YZ,2020-04-09,554
PEK,XX,2020-04-09,472
PEK,YZ,2020-04-09,532
CAN,YZ,2020-04-10,514
CTU,AB,2020-04-10,472
PEK,BB,2020-04-10,363
CTU,YZ,2020-04-11,343
CTU,YZ,2020-04-11,530
PEK,AB,2020-04-11,570
WUH,XX,2020-04-11,550
WUH,YZ,2020-04-11,499
CAN,YZ,2020-04-12,379
CTU,YZ,2020-04-12,301
CAN,YZ,2020-04-13,370
CAN,AB,2020-04-14,421
PEK,AB,2020-04-14,448
PEK,XX,2020-04-14,381
WUH,XX,2020-04-14,317
CAN,AB,2020-04-15,569
CTU,BB,2020-04-15,550
CTU,YZ,2020-04-15,519
WUH,AB,2020-04-15,332
WUH,XX,2020-04-15,524
CTU,YZ,2020-04-16,353
PEK,BB,2020-04-16,505
