city,company,date,price
CAN,AB,2020-03-19,331
CAN,BB,2020-03-19,465
WUH,XX,2020-03-19,374
WUH,YZ,2020-03-19,529
CAN,BB,2020-03-20,375
CAN,YZ,2020-03-20,380
CTU,AB,2020-03-20,522
WUH,AB,2020-03-20,469
WUH,YZ,2020-03-20,392
CTU,XX,2020-03-21,361
CTU,BB,2020-03-22,312
CTU,YZ,2020-03-22,419
PEK,XX,2020-03-22,578
PEK,YZ,2020-03-22,580
CAN,YZ,2020-03-23,369
CTU,BB,2020-03-23,488
PEK,AB,2020-03-23,554
PEK,BB,2020-03-23,587
CTU,BB,2020-03-24,573
CAN,YZ,2020-03-25,513
WUH,BB,2020-03-25,546
WUH,YZ,2020-03-25,326
WUH,YZ,2020-03-25,559
CAN,BB,2020-03-26,390
CAN,XX,2020-03-26,456
PEK,AB,2020-03-26,552
PEK,YZ,2020-03-26,304
WUH,AB,2020-03-26,480
CTU,BB,2020-03-27,419
CTU,BB,2020-03-28,529
CAN,AB,2020-03-29,388
CAN,BB,2020-03-29,571
PEK,YZ,2020-03-29,367
WUH,BB,2020-03-29,537
WUH,XX,2020-03-29,560
CTU,BB,2020-03-30,302
CTU,YZ,2020-03-30,498
PEK,AB,2020-03-30,436
PEK,BB,2020-03-30,398
PEK,YZ,2020-03-30,497
WUH,BB,2020-03-30,562
WUH,XX,2020-03-30,590
PEK,AB,2020-03-31,556
PEK,XX,2020-03-31,449
PEK,XX,2020-04-01,561
PEK,YZ,2020-04-01,425
WUH,AB,2020-04-01,333
WUH,BB,2020-04-01,496
CTU,AB,2020-04-02,412
PEK,AB,2020-04-02,328
WUH,XX,2020-04-02,527
CAN,BB,2020-04-03,404
CAN,BB,2020-04-03,429
PEK,AB,2020-04-03,452
PEK,YZ,2020-04-03,481
CAN,XX,2020-04-04,583
PEK,YZ,2020-04-04,373
WUH,AB,2020-04-05,496
CAN,XX,2020-04-06,449
CAN,YZ,2020-04-06,361
PEK,XX,2020-04-06,586
WUH,BB,2020-04-06,567
PEK,YZ,2020-04-07,330
CTU,AB,2020-04-08,599
WUH,BB,2020-04-08,504
CAN,AB,2020-04-09,577
CAN,XX,2020-04-09,314
CTU,BB,2020-04-09,425
CTU,XX,2020-04-09,529
CTU,XX,2020-04-09,309
CTU,YZ,2020-04-09,535
PEK,AB,2020-04-09,338
PEK,BB,2020-04-09,477
CTU,XX,2020-04-10,418
CTU,XX,2020-04-10,412
CAN,XX,2020-04-11,582
CTU,YZ,2020-04-11,324
CTU,YZ,2020-04-11,567
PEK,AB,2020-04-11,479
PEK,XX,2020-04-11,370
PEK,YZ,2020-04-11,439
WUH,BB,2020-04-11,548
WUH,BB,2020-04-11,524
WUH,YZ,2020-04-11,548
PEK,YZ,2020-04-12,370
WUH,AB,2020-04-12,455
WUH,YZ,2020-04-12,365
CAN,AB,2020-04-13,322
CAN,BB,2020-04-13,331
CAN,YZ,2020-04-13,411
CTU,BB,2020-04-13,395
CTU,YZ,2020-04-13,548
CTU,YZ,2020-04-13,493
CAN,XX,2020-04-15,425
PEK,BB,2020-04-15,533
CAN,BB,2020-04-16,596
CAN,XX,2020-04-16,390
PEK,YZ,2020-04-16,526
CTU,BB,2020-04-17,458
WUH,XX,2020-04-17,489
