city,company,date,price
CAN,AB,2020-03-19,332
CTU,YZ,2020-03-19,556
WUH,XX,2020-03-19,579
WUH,AB,2020-03-20,497
CAN,YZ,2020-03-21,373
PEK,AB,2020-03-21,435
CAN,XX,2020-03-22,551
CTU,YZ,2020-03-22,499
CTU,YZ,2020-03-22,530
WUH,BB,2020-03-22,313
WUH,YZ,2020-03-22,559
CAN,BB,2020-03-23,407
PEK,BB,2020-03-23,306
PEK,YZ,2020-03-23,322
WUH,AB,2020-03-23,390
WUH,AB,2020-03-23,538
WUH,BB,2020-03-23,482
WUH,XX,2020-03-23,409
CAN,BB,2020-03-24,441
CAN,YZ,2020-03-24,422
WUH,XX,2020-03-24,467
CAN,XX,2020-03-25,391
PEK,BB,2020-03-25,587
WUH,BB,2020-03-25,318
CAN,AB,2020-03-26,566
CAN,AB,2020-03-26,494
CAN,YZ,2020-03-26,378
PEK,AB,2020-03-26,352
WUH,BB,2020-03-26,417
CTU,BB,2020-03-27,472
PEK,AB,2020-03-28,336
WUH,BB,2020-03-28,332
WUH,XX,2020-03-28,353
CAN,YZ,2020-03-29,311
PEK,XX,2020-03-30,467
PEK,YZ,2020-03-30,484
WUH,YZ,2020-03-30,525
PEK,BB,2020-04-01,328
PEK,YZ,2020-04-01,537
PEK,YZ,2020-04-01,412
CAN,AB,2020-04-02,459
CTU,YZ,2020-04-02,435
PEK,AB,2020-04-02,527
PEK,AB,2020-04-02,483
PEK,BB,2020-04-02,344
WUH,BB,2020-04-02,422
CAN,AB,2020-04-03,485
CAN,BB,2020-04-03,338
CAN,YZ,2020-04-03,434
CTU,AB,2020-04-03,432
CTU,BB,2020-04-03,581
CTU,XX,2020-04-03,578
CAN,YZ,2020-04-04,486
CAN,YZ,2020-04-04,468
CTU,AB,2020-04-04,448
CTU,XX,2020-04-04,524
PEK,XX,2020-04-04,512
CTU,YZ,2020-04-05,559
WUH,YZ,2020-04-05,415
CAN,YZ,2020-04-06,597
CAN,YZ,2020-04-06,497
PEK,YZ,2020-04-06,520
WUH,YZ,2020-04-06,507
CTU,BB,2020-04-07,512
CAN,BB,2020-04-08,362
CAN,YZ,2020-04-08,553
PEK,XX,2020-04-08,503
WUH,BB,2020-04-08,503
CAN,AB,2020-04-09,546
CAN,YZ,2020-04-09,587
CAN,YZ,2020-04-09,518
CTU,BB,2020-04-09,466
CTU,BB,2020-04-09,318
PEK,AB,2020-04-09,374
CAN,AB,2020-04-10,386
CAN,YZ,2020-04-10,552
CAN,YZ,2020-04-10,358
PEK,XX,2020-04-10,569
WUH,BB,2020-04-10,591
WUH,XX,2020-04-10,476
CAN,AB,2020-04-11,523
CTU,XX,2020-04-11,557
CTU,XX,2020-04-11,479
PEK,YZ,2020-04-11,392
PEK,YZ,2020-04-11,390
WUH,XX,2020-04-11,466
CAN,BB,2020-04-13,410
CAN,YZ,2020-04-13,451
PEK,XX,2020-04-13,589
WUH,YZ,2020-04-13,515
CTU,BB,2020-04-14,343
PEK,BB,2020-04-14,349
WUH,BB,2020-04-14,568
CTU,AB,2020-04-15,375
WUH,AB,2020-04-15,593
CTU,XX,2020-04-16,527
WUH,BB,2020-04-16,355
WUH,XX,2020-04-16,485
CAN,XX,2020-04-17,582
CTU,AB,2020-04-17,446
