city,company,date,price
CAN,XX,2020-03-19,576
WUH,BB,2020-03-19,489
CAN,YZ,2020-03-20,563
PEK,BB,2020-03-20,578
PEK,XX,2020-03-20,343
PEK,XX,2020-03-20,527
WUH,AB,2020-03-20,316
WUH,YZ,2020-03-20,390
CAN,AB,2020-03-21,581
WUH,AB,2020-03-21,413
CAN,BB,2020-03-22,506
CTU,AB,2020-03-22,386
CAN,YZ,2020-03-23,534
CTU,YZ,2020-03-23,394
PEK,BB,2020-03-23,413
WUH,AB,2020-03-23,411
CAN,XX,2020-03-24,445
WUH,XX,2020-03-24,464
WUH,YZ,2020-03-24,542
CAN,XX,2020-03-25,457
CAN,XX,2020-03-25,472
PEK,AB,2020-03-25,470
WUH,YZ,2020-03-25,522
CTU,BB,2020-03-26,508
CAN,BB,2020-03-27,532
CAN,AB,2020-03-28,497
CAN,AB,2020-03-28,363
PEK,XX,2020-03-28,557
WUH,YZ,2020-03-28,377
CAN,AB,2020-03-29,415
CAN,AB,2020-03-29,331
WUH,BB,2020-03-29,380
CAN,XX,2020-03-30,553
PEK,BB,2020-03-30,338
PEK,XX,2020-03-30,422
WUH,XX,2020-03-30,596
CAN,AB,2020-03-31,400
CAN,BB,2020-03-31,549
CAN,XX,2020-03-31,549
PEK,XX,2020-03-31,399
CAN,XX,2020-04-01,463
CTU,XX,2020-04-01,517
PEK,BB,2020-04-01,582
CAN,BB,2020-04-02,550
CTU,AB,2020-04-02,500
CTU,BB,2020-04-03,447
WUH,AB,2020-04-03,522
WUH,XX,2020-04-03,541
CTU,XX,2020-04-05,336
CTU,YZ,2020-04-05,301
PEK,AB,2020-04-05,302
WUH,XX,2020-04-05,406
CAN,XX,2020-04-06,458
PEK,AB,2020-04-06,534
PEK,XX,2020-04-06,403
PEK,YZ,2020-04-06,355
WUH,XX,2020-04-06,341
WUH,XX,2020-04-06,502
WUH,XX,2020-04-06,319
CTU,YZ,2020-04-07,401
PEK,AB,2020-04-07,377
PEK,YZ,2020-04-07,582
CAN,XX,2020-04-08,410
CAN,YZ,2020-04-08,333
CTU,BB,2020-04-08,352
WUH,AB,2020-04-08,515
WUH,BB,2020-04-08,345
CAN,XX,2020-04-09,485
CTU,BB,2020-04-09,325
PEK,BB,2020-04-09,348
PEK,YZ,2020-04-09,379
WUH,AB,2020-04-09,465
CTU,AB,2020-04-10,492
CTU,XX,2020-04-10,355
PEK,BB,2020-04-10,349
CAN,YZ,2020-04-11,327
CTU,AB,2020-04-11,593
CTU,AB,2020-04-11,556
CTU,AB,2020-04-11,573
CTU,BB,2020-04-11,462
PEK,BB,2020-04-11,406
PEK,YZ,2020-04-11,517
CTU,AB,2020-04-12,500
CTU,YZ,2020-04-12,594
CAN,AB,2020-04-13,426
CAN,XX,2020-04-13,558
CTU,BB,2020-04-13,505
PEK,AB,2020-04-13,457
PEK,AB,2020-04-14,560
PEK,BB,2020-04-14,545
CTU,BB,2020-04-15,380
WUH,XX,2020-04-15,422
CAN,XX,2020-04-16,340
CAN,YZ,2020-04-16,581
CTU,BB,2020-04-16,330
PEK,BB,2020-04-16,305
PEK,YZ,2020-04-16,554
WUH,AB,2020-04-16,353
CTU,AB,2020-04-17,573
WUH,AB,2020-04-17,369
