city,company,date,price
WUH,AB,2020-03-19,539
CAN,YZ,2020-03-20,367
CTU,YZ,2020-03-20,594
PEK,YZ,2020-03-20,361
WUH,XX,2020-03-20,501
CAN,AB,2020-03-21,478
CAN,YZ,2020-03-21,466
CTU,XX,2020-03-21,589
PEK,BB,2020-03-21,454
PEK,YZ,2020-03-21,400
CAN,XX,2020-03-22,369
WUH,BB,2020-03-22,361
WUH,BB,2020-03-22,575
CTU,BB,2020-03-23,473
WUH,AB,2020-03-23,590
PEK,XX,2020-03-24,342
WUH,BB,2020-03-24,588
CAN,BB,2020-03-25,587
PEK,XX,2020-03-25,355
PEK,XX,2020-03-25,519
WUH,XX,2020-03-25,525
CAN,XX,2020-03-26,324
CTU,AB,2020-03-26,587
PEK,XX,2020-03-26,499
CAN,BB,2020-03-27,509
CTU,AB,2020-03-27,362
CTU,XX,2020-03-27,580
WUH,XX,2020-03-27,335
WUH,XX,2020-03-27,592
CAN,XX,2020-03-28,485
CTU,AB,2020-03-28,416
CTU,XX,2020-03-28,389
CTU,XX,2020-03-28,472
CAN,YZ,2020-03-29,563
CTU,YZ,2020-03-29,503
PEK,AB,2020-03-29,480
PEK,XX,2020-03-29,394
WUH,AB,2020-03-29,548
CTU,AB,2020-03-30,453
WUH,YZ,2020-03-30,439
CAN,BB,2020-03-31,340
CTU,AB,2020-03-31,473
PEK,YZ,2020-03-31,405
WUH,AB,2020-03-31,473
WUH,AB,2020-03-31,312
WUH,XX,2020-03-31,320
CAN,BB,2020-04-01,499
PEK,AB,2020-04-01,391
WUH,YZ,2020-04-01,402
CAN,BB,2020-04-02,528
CTU,BB,2020-04-02,417
PEK,BB,2020-04-02,360
WUH,BB,2020-04-02,537
CAN,YZ,2020-04-03,312
PEK,YZ,2020-04-03,327
WUH,AB,2020-04-03,597
CAN,XX,2020-04-04,463
CTU,AB,2020-04-04,453
PEK,AB,2020-04-04,357
CTU,AB,2020-04-05,564
PEK,AB,2020-04-05,482
PEK,AB,2020-04-05,325
PEK,XX,2020-04-05,378
WUH,AB,2020-04-05,582
CAN,BB,2020-04-06,390
CAN,YZ,2020-04-06,377
CTU,XX,2020-04-06,390
WUH,AB,2020-04-06,545
WUH,AB,2020-04-06,436
CAN,BB,2020-04-08,412
PEK,BB,2020-04-08,342
WUH,YZ,2020-04-08,508
CAN,XX,2020-04-09,478
PEK,AB,2020-04-09,567
CTU,XX,2020-04-11,382
CTU,XX,2020-04-11,575
PEK,XX,2020-04-11,592
CAN,YZ,2020-04-12,420
CAN,BB,2020-04-13,397
CTU,YZ,2020-04-13,499
WUH,XX,2020-04-13,578
WUH,YZ,2020-04-13,426
CAN,XX,2020-04-14,336
CTU,YZ,2020-04-14,573
PEK,AB,2020-04-14,464
PEK,BB,2020-04-14,449
PEK,BB,2020-04-14,383
CAN,XX,2020-04-15,498
CAN,XX,2020-04-15,362
PEK,BB,2020-04-15,479
WUH,BB,2020-04-15,354
CTU,BB,2020-04-16,534
WUH,BB,2020-04-16,300
WUH,YZ,2020-04-16,434
CAN,XX,2020-04-17,364
CAN,YZ,2020-04-17,498
CTU,XX,2020-04-17,478
PEK,AB,2020-04-17,437
WUH,BB,2020-04-17,395
WUH,YZ,2020-04-17,560
