city,company,date,price
CAN,YZ,2020-03-19,335
CAN,YZ,2020-03-19,473
CTU,XX,2020-03-19,312
PEK,YZ,2020-03-20,413
PEK,YZ,2020-03-20,436
PEK,BB,2020-03-21,599
CAN,YZ,2020-03-22,399
PEK,YZ,2020-03-22,566
CTU,YZ,2020-03-23,563
CTU,AB,2020-03-24,462
CTU,XX,2020-03-24,518
WUH,BB,2020-03-24,499
WUH,YZ,2020-03-24,580
PEK,BB,2020-03-25,466
PEK,BB,2020-03-25,545
WUH,AB,2020-03-25,344
WUH,YZ,2020-03-25,394
CAN,BB,2020-03-26,335
CAN,XX,2020-03-26,381
CTU,AB,2020-03-26,455
CTU,BB,2020-03-26,488
WUH,XX,2020-03-26,502
PEK,BB,2020-03-27,575
PEK,YZ,2020-03-27,423
WUH,BB,2020-03-27,485
WUH,XX,2020-03-27,548
WUH,XX,2020-03-27,496
CTU,XX,2020-03-28,434
PEK,BB,2020-03-28,308
CAN,AB,2020-03-29,415
CAN,XX,2020-03-29,408
CTU,YZ,2020-03-29,568
PEK,YZ,2020-03-29,329
PEK,YZ,2020-03-29,527
PEK,AB,2020-03-30,384
CTU,BB,2020-03-31,496
PEK,BB,2020-03-31,331
PEK,YZ,2020-03-31,531
PEK,YZ,2020-03-31,330
WUH,YZ,2020-03-31,539
CAN,AB,2020-04-01,336
CTU,BB,2020-04-01,342
CTU,XX,2020-04-01,315
CAN,XX,2020-04-02,344
CTU,BB,2020-04-02,551
CTU,YZ,2020-04-02,590
CTU,AB,2020-04-03,499
CTU,AB,2020-04-03,471
PEK,BB,2020-04-03,543
CAN,AB,2020-04-04,545
PEK,XX,2020-04-04,375
PEK,YZ,2020-04-04,345
CAN,AB,2020-04-05,537
PEK,BB,2020-04-05,515
WUH,YZ,2020-04-05,564
PEK,XX,2020-04-06,424
WUH,YZ,2020-04-06,513
CTU,AB,2020-04-07,555
WUH,BB,2020-04-07,439
CAN,YZ,2020-04-08,597
WUH,YZ,2020-04-08,478
CAN,XX,2020-04-09,411
CTU,XX,2020-04-09,452
CTU,XX,2020-04-09,539
PEK,BB,2020-04-09,386
PEK,BB,2020-04-09,436
WUH,XX,2020-04-09,514
WUH,YZ,2020-04-09,570
CAN,AB,2020-04-10,579
CAN,XX,2020-04-10,511
CAN,XX,2020-04-10,500
PEK,BB,2020-04-10,511
CAN,YZ,2020-04-11,574
CTU,BB,2020-04-11,317
CTU,YZ,2020-04-11,452
PEK,AB,2020-04-11,365
WUH,AB,2020-04-11,394
CAN,YZ,2020-04-12,595
PEK,YZ,2020-04-12,421
WUH,AB,2020-04-12,403
PEK,BB,2020-04-13,424
WUH,XX,2020-04-13,549
CAN,AB,2020-04-14,303
CAN,BB,2020-04-14,429
CAN,BB,2020-04-14,449
CAN,XX,2020-04-14,566
CTU,YZ,2020-04-14,336
PEK,AB,2020-04-14,493
WUH,AB,2020-04-14,422
WUH,YZ,2020-04-14,309
CAN,BB,2020-04-15,568
CAN,YZ,2020-04-15,523
WUH,BB,2020-04-15,421
WUH,YZ,2020-04-15,370
CTU,AB,2020-04-16,579
PEK,XX,2020-04-16,345
CAN,XX,2020-04-17,330
CTU,AB,2020-04-17,559
CTU,BB,2020-04-17,311
WUH,YZ,2020-04-17,425
